id,artist,title,album,release_date,label,timecode,song_link,apple_music.isrc,spotify.id
6790057285814061057,Pop Smoke,Element,Meet The Woo 2,2020-02-07,Victor Victor Worldwide,00:23,https://lis.tn/Element,USUM72002041,57BGVV6wcyhbn3hsjlqEZB
6881287666340481026,Sigurd Barrett,Pilfingerdansen,Børnesange Fra Sigurds Bjørnetime – Børnemusik Med Sigurd Barrett,2020-07-03,UMG - a MusiCat Kids Release / DR,00:33,https://lis.tn/Pilfingerdansen,DKBKA0201518,1nM60x7ZOBAVVe3ipKxD8b
6881107586830076678,Justin Timberlake,Mirrors,Mirrors,2013-03-13,RCA Records Label,03:37,https://lis.tn/NuTlqf,USRC11300246,6ToFxXRBtl5TJFEyIoYK3f
6649693417590754053,Pascal Letoublon,Friendships,Friendships,2017-09-05,Suprafive Records,00:44,https://lis.tn/Friendships,GBKQU1777771,3S2XkZJH5P3AqYk8ChYsWB
6873639087861942273,Sam Smith,Diamonds,Love Goes,2020-09-17,CAPITOL,00:51,https://lis.tn/rFAFGT,GBUM72002531,5hvwx5i67IwnCkjl9VHkNv
6893870343761496834,LPTHERAPPER,Lmss,Lmss,2018-10-15,AK Noise,00:17,https://lis.tn/Lmss,,
6850266942448683782,Peter Wibe,Only Time Will Tell - Vocal Mix,"Trance Sessions, Vol.12 (The Best in Trance and Dance)",2011-12-08,BELIEVE - Drizzly Records,00:57,https://lis.tn/bzlUl,DEK021177001,6hmpeX3ojcjwZQTDnYb8Hs
249539203825504256,Imagine Dragons,Believer,Believer,2017-01-31,Universal Music,00:59,https://lis.tn/Believer,USUM71700626,0pqnGHJpmpxLKifKRmU6WP
6892161420423596034,The Kid LAROI,WITHOUT YOU,F*CK LOVE (SAVAGE),2020-11-06,SME - Columbia,01:00,https://lis.tn/saUIYf,USSM12006586,27OeeYzk6klgBh83TSvGMA
222500945169997824,Elvis Presley,Jailhouse Rock (Spankox Re:Version - Highpass Radio Edit),Re:Version,2013-01-02,Supreme Media,01:02,https://lis.tn/PTAuh,,
6837446677348027141,Jvla,Such a Whore (Stellular Version),Such a Whore (Stellular Version),2020-06-15,BLVCK CVCTUS,00:55,https://lis.tn/yArrw,,
6907334593603554053,WizKid,Joro,Joro,2019-07-10,Starboy/RCA Records,00:30,https://lis.tn/Joro,USRC11901068,3Yt1ovsh3v3VEzRuhI1TL5
6844542304192088833,Sleepy Hallow,Deep End Freestyle,Deep End Freestyle,2020-04-03,Winners Circle Entertainment Inc / EMPIRE,00:14,https://lis.tn/DeepEndFreestyle,USUYG1305011,0rB91mtiTe3etJ7Q7rABTy
6899533138922670850,Studio Killers,Jenny,Jenny,2013-05-03,WM Finland,00:43,https://lis.tn/Jenny,GBX2M1300001,4JLBDUYSaOMPYND0iWeSWQ
6568746626930871041,Dua Lipa,Blow Your Mind (Mwah),Blow Your Mind (Mwah),2016-08-26,Warner Bros.,02:42,https://lis.tn/BlowYourMindMwah,GBAHT1600302,4C3tERxkeWu2FQ1N9tqc2o
6867335919502936838,Hannah Montana,Nobody's Perfect,Hannah Montana 2 Original Soundtrack / Meet Miley Cyrus,2007-07-09,Parlophone Catalogue,00:05,https://lis.tn/NobodysPerfect,USWD10730703,7c223RltkvhN8wrxIqspM5
6877671671927425798,Xirali-3,Hometown,Morsmordre,2021-01-30,"BELIEVE - Dance House（KH Co., Ltd.）",00:14,https://lis.tn/tQCwVV,,
6724958012198439686,To Dance and Have Fun,Dumb Dumb Challenge Dance,Dumb Dumb Challenge Dance,2021-03-17,BELIEVE - Millennials UK Music Group,00:20,https://lis.tn/aBWEf,,
6893611763158272769,"Bobo Mbhele feat. Visca, Kabza De Small, DJ Maphorisa","iLwa Ntombo feat. Visca,Kabza De Small,DJ Maphorisa","iLwa Ntombo feat. Visca,Kabza De Small,DJ Maphorisa",2020-12-19,New Money Gang,01:34,https://lis.tn/zSBrI,,4Z0x1GkpVkJwIRiy9IZflC
6586947002464996102,LPTHERAPPER,Lmss,Lmss,2018-10-15,AK Noise,00:14,https://lis.tn/Lmss,,
6857905964893440769,Subodh Su2,Maya Bhai,Maya Bhai,2021-01-10,1169775 Records DK,02:38,https://lis.tn/MayaBhai,QZFYX2183729,3qx1biwxvXVtZKKB6kPhxn
6792987346171070465,Elliot Van Coup,Say So (Instrumental Version) [Originally Performed by Doja Cat],Blast Thru Hits vol 2 (Explicit),,IGX,02:13,https://lis.tn/lokts,,
6871457877022739201,Maroon 5,Animals,Singles,2014-08-24,222 Records/Interscope Records,01:05,https://lis.tn/ZjqvMz,USUM71409576,2bL2gyO6kBdLkNSkxXNh6x
6795196970278324998,TypeHeat,Reality Can Be Whatever I Want,Reality Can Be Whatever I Want,2020-10-30,TypeHeat Studios,00:05,https://lis.tn/spGDW,QZNWQ2019063,5SCyfsUaEDRZeaicOxHjWQ
6757175376029435905,Trevor Daniel,Falling,Falling,2018-10-05,Internet Money / Alamo Records,00:14,https://lis.tn/Falling,USUYG1221109,4TnjEaWOeW0eKTKIEvJyCa
6847647314127932166,Pop Smoke,What You Know Bout Love,Shoot For The Stars Aim For The Moon,2020-07-03,Victor Victor Worldwide,01:57,https://lis.tn/WhatYouKnowBoutLove,USUM72013339,1tkg4EHVoqnhR6iFEXb60y
6893119955223546625,Serhat Durmus,La Câlin,La Câlin,2017-04-10,Derin Müzik,00:14,https://lis.tn/LaC%C3%A2lin,TCADI1715361,2nLeVfLE8t3hzHhXkZ6Ez2
6884688837650483970,Roar,I Can't Handle Change,I Can't Handle Change,2010-03-14,Felt Forest Records,02:10,https://lis.tn/ICan%27THandleChange,USHM81020595,0I1eFRytp4XRhLCjT6tZm7
6757035844780967938,MC Madan,Palhação do Mal,Palhação do Mal,2019-11-08,KondZilla Records,00:14,https://lis.tn/Palha%C3%A7%C3%A3oDoMal,BXKZM1900417,75KNSYO7VenFa80dKYlvOK
6901020142025984769,dullrainbow,Get Lucky TikTok,Get Lucky TikTok,2021-01-10,2653850 Records DK,00:10,https://lis.tn/GetLuckyTikTok,,
6898035926161689346,Eminem,Without Me,Suicide Squad: The Album,2002-01-01,Universal Music,00:50,https://lis.tn/WithoutMe,USIR10211038,7lQ8MOhq6IN2w8EYcFNSUk
6892365012652854018,Justin Timberlake,SexyBack,FutureSex/LoveSounds,2006-09-11,Jive,03:43,https://lis.tn/xozlts,USJI10600269,0O45fw2L5vsWpdsOdXwNAR
6895372307825707778,Adam Counts,Jingle Bell Rock,Spirit,2016-12-04,Astronaut Music,00:08,https://lis.tn/INCNzM,,
6869403344385870593,Eric D,Savage Days,Savage Days,2018-01-13,ROARIOR,00:37,https://lis.tn/SavageDays,,
6905761514956212994,Jasmin Mary Tadjiky,Bossy 4 (60),Bear Vibes,,Audio Network,00:14,https://lis.tn/Bossy460,,
6847647314127932166,Pop Smoke,What You Know Bout Love,Shoot For The Stars Aim For The Moon,2020-07-03,Victor Victor Worldwide,01:57,https://lis.tn/WhatYouKnowBoutLove,USUM72013339,1tkg4EHVoqnhR6iFEXb60y
6677864212619856641,TroyBoi,KinjaBang,Left Is Right,2017-09-22,UMG - Universal Music India Pvt Ltd.,00:32,https://lis.tn/blfsFr,,
6869575672570891014,Lemon Demon,BRODYQUEST,Nature Tapes EP,2014-03-23,None,00:13,https://lis.tn/BRODYQUEST,,39XE8nnqVZI9WrsFd5STKx
6864247805255469830,Labrinth,Still Don't Know My Name,Euphoria: Season 1 (Music from the Original Series),2019-10-04,Milan,00:43,https://lis.tn/StillDontKnowMyName,USQX91902507,6N22FZs2ZhPBYi3b9XPajV
6530624649733084175,Judubre,Neon,Aura,2020-06-19,M87 Music,01:20,https://lis.tn/WSxjRY,QZHZ42079755,5SNHPRYUlkGWsjecNZZddj
6859447951941831430,David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",Listen,2014-11-24,Atlantic/Parlophone,01:09,https://lis.tn/uaHcV,GB28K1400058,5b2bu6yyATC1zMXDGScJ2d
6714306299397458693,Queen,Bohemian Rhapsody,A Night At The Opera,2011-01-01,Universal Music,04:12,https://lis.tn/BohemianRhapsody,GBUM71029604,7tFiyTwD0nx5a1eklYtX2J
6876997302431615749,Royal & the Serpent,Overwhelmed,Overwhelmed,2020-05-05,WMG - Atlantic Records,00:53,https://lis.tn/Overwhelmed,USAT22002973,5jjZikDrEd0by1o7V3fO4y
6848744596168968965,Hildur Guðnadóttir,Bathroom Dance,Joker (Original Motion Picture Soundtrack),2019-10-02,Watertower Music,00:57,https://lis.tn/BathroomDance,USNLR1900407,4WiqPbWvLbv317E8fB4SJC
6903708868510059269,DanceToTik,"Billie Jean,Boo, F It Up Tik","Billie Jean,Boo, F It Up Tik",2020-12-07,2600909 Records DK,00:19,https://lis.tn/SQsVA,QZNWW2095811,2zFbaEekuLtaDktk3JVudO
